kingdom,phylum,ERR2808645,ERR2808646,ERR2808647,ERR2808648,ERR2808649,ERR2808650,ERR2808651,ERR2808652,ERR2808653,ERR2808654,ERR2808655,ERR2808656,ERR2808657,ERR2808658,ERR2808659,ERR2808660,ERR2808661,ERR2808662,ERR2808663,ERR2808664,ERR2808665,ERR2808666,ERR2808667,ERR2808668
Eukaryota,Apicomplexa,0,0,1,3,0,21,2,0,1,0,2,0,0,0,1,0,1,2,0,5,0,1,2,0
Eukaryota,Arthropoda,0,3,1,2,0,2,3,2,2,6,3,2,3,0,4,0,2,1,1,4,0,2,1,6
Eukaryota,Ascomycota,14,8,13,5,2,4,3,21,11,6,6,8,7,25,7,5,7,14,1,2,0,7,14,7
Eukaryota,Bacillariophyta,0,1,0,0,1,0,1,0,0,0,3,1,0,2,0,3,0,0,0,2,1,1,1,0
Eukaryota,Basidiomycota,0,1,0,2,0,0,4,0,0,1,5,0,2,0,3,1,1,1,0,0,1,2,0,1
Eukaryota,Chlorophyta,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,1,0
Eukaryota,Chordata,3,1,1,2,2,0,2,3,5,4,2,3,2,2,0,5,2,2,1,3,1,1,5,1
Eukaryota,Chytridiomycota,0,2,0,3,3,0,2,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0
Eukaryota,Cnidaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eukaryota,Cryptomycota,1,1,2,3,3,3,4,0,2,0,2,1,4,2,9,7,0,3,0,3,0,9,5,1
Eukaryota,Euglenida,0,10,0,0,2,1,4,0,0,3,20,0,17,0,3,5,7,0,0,2,0,5,0,2
Eukaryota,Microsporidia,0,0,0,1,0,3,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Eukaryota,Mucoromycota,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,0
Eukaryota,Nematoda,2,0,2,5,1,4,6,5,10,83,3,5,3,1,4,6,4,6,5,2,6,3,7,89
Eukaryota,Phaeophyceae,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Eukaryota,Platyhelminthes,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0
Eukaryota,Porifera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eukaryota,Rotifera,12,12,8,35,32,30,18,3,31,1,6,19,6,1,5,23,12,11,5,35,8,6,22,1
Eukaryota,Streptophyta,7,3,4,809,2,811,16,10,2,8,0,7,5,6,8,15,3,11,0,5,0,5,1,3
Eukaryota,Tardigrada,0,0,0,0,1,0,0,1,0,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0
Eukaryota,Zoopagomycota,0,1,0,19,0,14,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
