sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material,assembly_run_ids,study_id
ERS2597345,DTU2017_MG_125_TH_PA,SAMEA4777397,DTU2017_MG_125_TH_PA,14.0697,100.6106,Thailand,,,,ERR2683140,MGYS00003139
ERS2597346,DTU2017_MG_126_GE_KU,SAMEA4777398,DTU2017_MG_126_GE_KU,42.2393,42.6758,Georgia,,,,ERR2683141,MGYS00003139
ERS2597348,DTU2017_MG_128_ZA_PR,SAMEA4777400,DTU2017_MG_128_ZA_PR,-25.7344,28.1779,South Africa,,,,ERR2683143,MGYS00003139
ERS2597349,DTU2017_MG_129_LU_LU,SAMEA4777401,DTU2017_MG_129_LU_LU,49.651,6.13,Luxembourg,,,,ERR2683144,MGYS00003139
ERS2597350,DTU2017_MG_12_MY_KG,SAMEA4777402,DTU2017_MG_12_MY_KG,3.0047,101.4342,Malaysia,,,,ERR2683145,MGYS00003139
ERS2597351,DTU2017_MG_130_IT_RO,SAMEA4777403,DTU2017_MG_130_IT_RO,41.8193,12.4281,Italy,,,,ERR2683146,MGYS00003139
ERS2597352,DTU2017_MG_131_KR_GW,SAMEA4777404,DTU2017_MG_131_KR_GW,35.1559,126.8355,South Korea,,,,ERR2683147,MGYS00003139
ERS2597365,DTU2017_MG_143_UG_KA,SAMEA4777417,DTU2017_MG_143_UG_KA,0.3193,32.6061,Uganda,,,,ERR2683160,MGYS00003139
ERS2597375,DTU2017_MG_152_NP_KA,SAMEA4777427,DTU2017_MG_152_NP_KA,27.7008,85.3001,Nepal,,,,ERR2683170,MGYS00003139
ERS2597377,DTU2017_MG_154_GT_GU,SAMEA4777429,DTU2017_MG_154_GT_GU,14.5786,-90.5594,Guatemala,,,,ERR2683172,MGYS00003139
ERS2597378,DTU2017_MG_155_LT_VI,SAMEA4777430,DTU2017_MG_155_LT_VI,54.7097,25.2212,Lithuania,,,,ERR2683173,MGYS00003139
ERS2597379,DTU2017_MG_156_KE_NA,SAMEA4777431,DTU2017_MG_156_KE_NA,-1.2561,37.0118,Kenya,,,,ERR2683174,MGYS00003139
ERS2597382,DTU2017_MG_159_MK_SK,SAMEA4777434,DTU2017_MG_159_MK_SK,41.9906,21.4758,Macedonia,,,,ERR2683177,MGYS00003139
ERS2597384,DTU2017_MG_160_GH_TA,SAMEA4777436,DTU2017_MG_160_GH_TA,9.4034,-0.8424,Ghana,,,,ERR2683179,MGYS00003139
ERS2597391,DTU2017_MG_167_LK_MA,SAMEA4777443,DTU2017_MG_167_LK_MA,6.9312,79.874,Sri Lanka,,,,ERR2683186,MGYS00003139
ERS2597393,DTU2017_MG_16_BR_BE,SAMEA4777445,DTU2017_MG_16_BR_BE,-1.4283,-48.4921,Brazil,,,,ERR2683188,MGYS00003139
ERS2597394,DTU2017_MG_17_US_PO,SAMEA4777446,DTU2017_MG_17_US_PO,45.5951,-122.7176,USA,,,,ERR2683189,MGYS00003139
ERS2597396,DTU2017_MG_19_MY_AS,SAMEA4777448,DTU2017_MG_19_MY_AS,5.6044,100.5436,Malaysia,,,,ERR2683191,MGYS00003139
ERS2597397,DTU2017_MG_1_TH_BK,SAMEA4777449,DTU2017_MG_1_TH_BK,13.7579,100.4859,Thailand,,,,ERR2683192,MGYS00003139
ERS2597398,DTU2017_MG_20_MY_PG,SAMEA4777450,DTU2017_MG_20_MY_PG,5.4356,100.3091,Malaysia,,,,ERR2683193,MGYS00003139
ERS2597399,DTU2017_MG_21_MY_IP,SAMEA4777451,DTU2017_MG_21_MY_IP,4.5975,101.0901,Malaysia,,,,ERR2683194,MGYS00003139
ERS2597400,DTU2017_MG_22_MY_PB,SAMEA4777452,DTU2017_MG_22_MY_PB,5.438,100.3882,Malaysia,,,,ERR2683195,MGYS00003139
ERS2597401,DTU2017_MG_23_JP_JP,SAMEA4777453,DTU2017_MG_23_JP_JP,36.2048,138.2529,Japan,,,,ERR2683196,MGYS00003139
ERS2597404,DTU2017_MG_26_NL_UT,SAMEA4777456,DTU2017_MG_26_NL_UT,52.1084,5.1112,Netherlands,,,,ERR2683199,MGYS00003139
ERS2597405,DTU2017_MG_27_UY_MV,SAMEA4777457,DTU2017_MG_27_UY_MV,-34.9301,-56.1609,Uruguay,,,,ERR2683200,MGYS00003139
ERS2597408,DTU2017_MG_2_PT_LI,SAMEA4777460,DTU2017_MG_2_PT_LI,38.7221,-9.1746,Portugal,,,,ERR2683203,MGYS00003139
ERS2597409,DTU2017_MG_30_LB_SF,SAMEA4777461,DTU2017_MG_30_LB_SF,34.015,35.6398,Lebanon,,,,ERR2683204,MGYS00003139
ERS2597410,DTU2017_MG_31_LB_RI,SAMEA4777462,DTU2017_MG_31_LB_RI,33.8559,35.9948,Lebanon,,,,ERR2683205,MGYS00003139
ERS2597413,DTU2017_MG_34_LB_SD,SAMEA4777465,DTU2017_MG_34_LB_SD,33.5062,35.3038,Lebanon,,,,ERR2683208,MGYS00003139
ERS2597416,DTU2017_MG_37_GH_AC,SAMEA4777468,DTU2017_MG_37_GH_AC,5.6037,-0.187,Ghana,,,,ERR2683211,MGYS00003139
ERS2597418,DTU2017_MG_39_NZ_CH,SAMEA4777470,DTU2017_MG_39_NZ_CH,-43.5256,172.6997,New Zealand,,,,ERR2683213,MGYS00003139
ERS2597419,DTU2017_MG_3_ES_BA,SAMEA4777471,DTU2017_MG_3_ES_BA,41.4096,2.2228,Spain,,,,ERR2683214,MGYS00003139
ERS2597420,DTU2017_MG_40_PH_QU,SAMEA4777472,DTU2017_MG_40_PH_QU,14.6027,120.9671,Philippines,,,,ERR2683215,MGYS00003139
ERS2597423,DTU2017_MG_43_CH_BR,SAMEA4777475,DTU2017_MG_43_CH_BR,46.9722,7.4285,Switzerland,,,,ERR2683218,MGYS00003139
