OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
OTU115,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Helcobacillus
OTU116,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Barrientosiimonas
OTU117,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Branchiibius
OTU118,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Calidifontibacter
OTU119,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus
OTU120,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Flexivirga
OTU121,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Kytococcus
OTU122,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Luteipulveratus
OTU123,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Rudaeicoccus
OTU124,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilus
OTU125,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Kineosphaera
OTU126,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Mobilicoccus
OTU127,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Piscicoccus
OTU128,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Tonsilliphilus
OTU129,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Arsenicicoccus
OTU130,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium
OTU131,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter
OTU132,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia
OTU133,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Kribbia
OTU134,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinicoccus
OTU135,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinimicrobium
OTU136,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
OTU137,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Phycicoccus
OTU138,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Serinicoccus
OTU139,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter
OTU140,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera
OTU141,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Jonesiaceae,Jonesia
OTU142,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus
OTU143,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
OTU144,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium
OTU145,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter
OTU146,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium
OTU147,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryocola
OTU148,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium
OTU149,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Frigoribacterium
OTU150,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea
OTU151,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gryllotalpicola
OTU152,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Gulosibacter
