OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1072,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Rahnella,Rahnella aquatilis
OTU1073,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Raoultella terrigena
OTU1074,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Rhodoblastus,Rhodoblastus acidophilus
OTU1075,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Riesia,Riesia pediculicola
OTU1076,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Robinsoniella,Robinsoniella peoriensis
OTU1077,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrixopsis,Saccharothrixopsis albidus
OTU1078,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salimicrobium,Salimicrobium album
OTU1079,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salinibacillus,Salinibacillus aidingensis
OTU1080,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio costicola
OTU1081,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salipiger,Salipiger mucosus
OTU1082,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salirhabdus,Salirhabdus euzebyi
OTU1083,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus,Salsuginibacillus halophilus
OTU1084,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salsuginibacillus,Salsuginibacillus kocurii
OTU1085,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Samsonia,Samsonia erythrinae
OTU1086,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Scopulibacillus,Scopulibacillus darangshiensis
OTU1087,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Sediminibacillus,Sediminibacillus halophilus
OTU1088,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sediminicola,Sediminicola luteus
OTU1089,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia rubidaea
OTU1090,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia ureilytica
OTU1091,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella sonnei
OTU1092,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella granuli
OTU1093,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter,Siphonobacter aquaeclarae
OTU1094,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,J115,Spongiibacter,Spongiibacter tropicus
OTU1095,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina aquimarina
OTU1096,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus
OTU1097,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Stappia,Stappia meyerae
OTU1098,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Steffania,Steffania adelgidicola
OTU1099,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
OTU1100,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas retroflexus
OTU1101,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces xanthocidicus
OTU1102,Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Telmatobacter,Telmatobacter bradus
OTU1103,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus
OTU1104,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas,Thalassomonas sediminis
OTU1105,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassomonas,Thalassomonas viridans
OTU1106,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,Thermobacillus composti
OTU1107,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Thermocrispum,Thermocrispum agreste
OTU1108,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoflavimicrobium,Thermoflavimicrobium dichotomicum
OTU1109,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,Thiodictyon elegans
OTU1110,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiolamprovum,Thiolamprovum pedioforme
OTU1111,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira chilensis
OTU1112,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira frisia
OTU1113,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodovibrio,Thiorhodovibrio winogradskyi
OTU1114,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Thorsellia,Thorsellia anophelis
OTU1115,Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Tolypothrix,Tolypothrix distorta
OTU1116,Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Toxopsis,Toxopsis calypsus
OTU1117,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Tremblayales,Tremblayaceae,Tremblaya,Tremblaya princeps
OTU1118,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio aestuarianus
OTU1119,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio atlanticus
OTU1120,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Pseudoalteromonadaceae,Vibrio,Vibrio cholerae
