assembly_run_ids,study_id
ERR2729880,MGYS00001910
ERR2729881,MGYS00001910
ERR2729882,MGYS00001910
ERR2729883,MGYS00001910
ERR2729884,MGYS00001910
ERR2729885,MGYS00001910
ERR2729886,MGYS00001910
ERR2729887,MGYS00001910
ERR2729888,MGYS00001910
ERR2729889,MGYS00001910
ERR2729890,MGYS00001910
ERR2729891,MGYS00001910
ERR2729892,MGYS00001910
ERR2729893,MGYS00001910
ERR2729894,MGYS00001910
ERR2729895,MGYS00001910
ERR2729896,MGYS00001910
ERR2729897,MGYS00001910
ERR2729898,MGYS00001910
ERR2729899,MGYS00001910
ERR2729900,MGYS00001910
ERR2729901,MGYS00001910
ERR2729902,MGYS00001910
ERR2729903,MGYS00001910
ERR2729904,MGYS00001910
ERR2729905,MGYS00001910
ERR2729906,MGYS00001910
ERR2729907,MGYS00001910
ERR2729908,MGYS00001910
ERR2729909,MGYS00001910
ERR2729910,MGYS00001910
ERR2729911,MGYS00001910
ERR2729912,MGYS00001910
ERR2729913,MGYS00001910
ERR2729914,MGYS00001910
ERR2729915,MGYS00001910
ERR2729916,MGYS00001910
ERR2729917,MGYS00001910
ERR2729918,MGYS00001910
ERR2729919,MGYS00001910
ERR2729920,MGYS00001910
ERR2729921,MGYS00001910
ERR2729922,MGYS00001910
ERR2729923,MGYS00001910
ERR2729924,MGYS00001910
ERR2729925,MGYS00001910
ERR2729926,MGYS00001910
ERR2729927,MGYS00001910
ERR2729928,MGYS00001910
ERR2729929,MGYS00001910
ERR2729930,MGYS00001910
ERR2729931,MGYS00001910
ERR2729932,MGYS00001910
ERR2729933,MGYS00001910
ERR2729934,MGYS00001910
ERR2729935,MGYS00001910
ERR2729936,MGYS00001910
ERR2729937,MGYS00001910
ERR2729938,MGYS00001910
ERR2729939,MGYS00001910
ERR2729940,MGYS00001910
ERR2729941,MGYS00001910
ERR2729942,MGYS00001910
ERR2729943,MGYS00001910
ERR2729944,MGYS00001910
ERR2729945,MGYS00001910
ERR2729946,MGYS00001910
ERR2729947,MGYS00001910
ERR2729948,MGYS00001910
ERR2729949,MGYS00001910
ERR2729950,MGYS00001910
ERR2729951,MGYS00001910
ERR2729952,MGYS00001910
ERR2729953,MGYS00001910
ERR2729954,MGYS00001910
ERR2729955,MGYS00001910
ERR2729956,MGYS00001910
ERR2729957,MGYS00001910
ERR2729958,MGYS00001910
ERR2729959,MGYS00001910
ERR2729960,MGYS00001910
ERR2729961,MGYS00001910
ERR2729962,MGYS00001910
ERR2729963,MGYS00001910
ERR2729964,MGYS00001910
ERR2729965,MGYS00001910
ERR2729966,MGYS00001910
ERR2729967,MGYS00001910
ERR2729968,MGYS00001910
ERR2729969,MGYS00001910
ERR2729970,MGYS00001910
ERR2729971,MGYS00001910
ERR2729972,MGYS00001910
ERR2088984,MGYS00001910
ERR2088985,MGYS00001910
ERR2088986,MGYS00001910
ERR2088987,MGYS00001910
ERR2088988,MGYS00001910
ERR2088989,MGYS00001910
ERR2088990,MGYS00001910
ERR2088991,MGYS00001910
ERR2088992,MGYS00001910
ERR2088993,MGYS00001910
ERR2088994,MGYS00001910
ERR2088995,MGYS00001910
ERR2586215,MGYS00002383
ERR2586216,MGYS00002383
ERR2586217,MGYS00002383
ERR2586218,MGYS00002383
ERR2586219,MGYS00002383
ERR2586220,MGYS00002383
ERZ778036,MGYS00004765
ERZ795029,MGYS00004910
ERZ795056,MGYS00004929
ERZ795059,MGYS00004932
ERZ795066,MGYS00004939
