OTU,ERR770579,ERR770580,ERR770581,ERR770582,ERR770583,ERR770584,ERR1076078,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
OTU221,0,0,0,4,1,0,0,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,8,5,1,0,0,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,5,2,3,4,0,0,0,0,0,0
OTU222,0,0,0,17,9,13,0,4,36,0,12,13,13,1,1,0,0,2,2,4,5,0,4,4,9,8,9,1,0,1,1,0,2,0,2,3,4,6,19,26,9,12,16,20,11,32,12,22,15,24,23,5,26,11,15,24,10,6,1,0,0,0,4,12,0,0,0,8,3,20,17,35,1,27,44,27,44,0,0,0,0,0,0
OTU223,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,4,2,2,2,1,1,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,11,7,8,4,0,0,0,0,0,0
OTU224,0,1,0,44,52,50,2,3,22,2,2,4,6,0,0,1,0,1,2,2,0,0,0,0,1,2,9,0,0,0,2,0,0,4,0,0,2,1,10,9,0,2,5,13,10,8,2,4,18,7,5,9,14,9,13,5,28,3,0,0,0,0,1,10,2,0,0,0,0,15,15,17,1,23,33,39,26,0,0,0,0,0,0
OTU225,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0
OTU226,0,0,2,62,54,53,0,6,14,2,8,2,1,3,0,2,2,0,0,0,0,0,0,0,0,3,3,9,2,3,6,0,11,7,0,0,0,0,15,26,15,12,10,26,14,12,14,10,11,18,24,9,19,21,12,11,5,8,0,0,1,0,0,0,0,0,5,0,0,5,5,11,11,8,12,12,7,0,0,0,0,0,0
OTU227,0,0,1,152,123,122,0,16,31,0,19,13,18,2,4,2,6,1,3,4,2,7,0,0,1,0,3,7,5,10,8,2,10,8,0,0,0,0,18,30,20,34,39,25,28,43,14,34,40,33,31,32,39,30,27,27,41,19,0,0,4,10,0,1,1,0,1,0,1,32,22,26,13,23,21,21,27,0,0,0,0,0,0
OTU228,0,0,0,0,1,0,0,6,12,0,5,7,10,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,1,2,5,3,8,12,7,4,0,5,2,7,4,12,18,4,6,11,12,3,0,0,0,0,0,0,0,0,0,0,0,11,10,14,0,20,19,11,10,0,0,0,0,0,0
OTU229,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU230,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
