OTU,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
OTU149,0,0,0,0,1,0
OTU150,0,0,1,1,0,0
OTU151,0,3,0,3,0,0
OTU152,0,0,0,0,0,0
OTU153,1,2,3,2,1,2
OTU154,0,0,0,0,0,0
OTU155,0,0,0,0,0,0
OTU156,0,0,0,0,0,0
OTU157,0,0,0,0,0,0
OTU158,0,0,0,1,0,0
OTU159,0,0,0,0,0,0
OTU160,0,0,0,0,0,0
OTU161,0,0,0,0,0,0
OTU162,0,0,0,1,0,0
OTU163,0,0,0,0,0,0
OTU164,1,0,1,0,0,0
OTU165,0,0,0,1,0,0
OTU166,0,0,0,0,0,0
OTU167,0,0,0,0,0,0
OTU168,0,0,0,0,0,0
OTU169,0,0,1,2,0,0
OTU170,0,0,0,0,0,1
OTU171,1,0,0,0,0,0
OTU172,0,0,0,0,1,0
OTU173,0,0,0,0,0,0
OTU174,0,0,0,0,0,0
OTU175,1,0,2,0,0,1
OTU176,0,0,0,0,0,0
OTU177,0,1,0,0,1,0
OTU178,0,0,0,2,0,0
OTU179,0,2,0,1,0,0
OTU180,0,0,0,0,0,0
OTU181,0,0,0,0,0,0
OTU182,0,0,0,0,0,0
OTU183,0,0,2,0,0,1
OTU184,0,0,0,0,1,0
OTU185,0,0,0,0,0,0
OTU186,0,0,0,0,0,0
OTU187,0,0,0,0,0,0
OTU188,0,0,0,0,0,0
OTU189,1,0,0,0,0,0
OTU190,0,0,0,0,0,0
OTU191,0,0,0,0,0,0
OTU192,0,1,0,0,1,0
OTU193,2,0,0,2,0,0
OTU194,0,0,0,0,0,0
OTU195,0,0,2,0,0,1
OTU196,1,0,0,0,0,0
OTU197,0,0,0,0,0,0
OTU198,2,0,2,1,0,0
OTU199,0,0,0,0,1,0
OTU200,0,0,0,0,0,0
OTU201,0,0,1,0,0,0
OTU202,0,0,0,0,0,0
OTU203,0,0,0,0,0,0
OTU204,0,0,1,0,0,0
OTU205,0,0,1,0,0,0
OTU206,0,0,0,0,0,0
OTU207,0,0,0,0,0,0
OTU208,0,0,0,0,0,0
OTU209,2,0,0,0,0,2
OTU210,0,0,0,0,0,1
OTU211,2,0,2,1,2,0
OTU212,0,1,0,0,0,2
OTU213,0,0,0,0,0,0
OTU214,0,0,0,0,0,0
OTU215,0,0,0,0,0,1
OTU216,0,0,0,0,0,1
OTU217,0,0,0,0,0,0
OTU218,0,0,0,0,0,0
