OTU,phylum,ERZ3455818,ERZ3455794,ERZ3455798,ERZ3455802,ERZ3455814,ERZ3455822,ERZ3455826,ERZ3455854,ERZ3455795,ERZ3455805,ERZ3455806,ERZ3455810,ERZ3455811,ERZ3455821,ERZ3455827,ERZ3455830,ERZ3455834,ERZ3455837,ERZ3455842,ERZ3455796,ERZ3455800,ERZ3455816,ERZ3455817,ERZ3455824,ERZ3455832,ERZ3455839,ERZ3455849,ERZ3455855,ERZ3455863,ERZ3455867,ERZ3455803,ERZ3455809,ERZ3455831,ERZ3455859,ERZ3455884,ERZ3455797,ERZ3455815,ERZ3455825,ERZ3455862,ERZ3455876,ERZ3455888,ERZ3455812,ERZ3455843,ERZ3455851,ERZ3455868,ERZ3455872,ERZ3455880,ERZ3455807,ERZ3455823,ERZ3455836,ERZ3455892,ERZ3455799,ERZ3455835,ERZ3455845,ERZ3455850,ERZ3455857,ERZ3455865,ERZ3455871,ERZ3455877,ERZ3455882,ERZ3455887,ERZ3455858,ERZ3455791,ERZ3455801,ERZ3455813,ERZ3455852,ERZ3455870,ERZ3455838,ERZ3455844,ERZ3455860,ERZ3455873,ERZ3455881,ERZ3455891,ERZ3455896,ERZ3455847,ERZ3455885,ERZ3455792,ERZ3455841,ERZ3455874,ERZ3455875,ERZ3455889,ERZ3455900,ERZ3455820,ERZ3455828,ERZ3455861,ERZ3455864,ERZ3455886,ERZ3455894,ERZ3455895,ERZ3455846,ERZ3455856,ERZ3455899,ERZ3455879,ERZ3455793,ERZ3455819,ERZ3455848,ERZ3455853,ERZ3455878,ERZ3455804,ERZ3455829,ERZ3455833,ERZ3455840,ERZ3455869,ERZ3455883,ERZ3455893,ERZ3455808,ERZ3455890,ERZ3455897,ERZ3455866,ERZ3455898,ERR1713331,ERR1713332,ERR1725942,ERR1725946,ERR1725948,ERR1725949,ERR1725950,ERR1725952,ERR1713339,ERR1713340,ERR1725960,ERR1713342,ERR1725963,ERR1713344,ERR1725965,ERR1713346,ERR1725966,ERR1725968,ERR1713349,ERR1713350,ERR1713351,ERR1713352,ERR1713353,ERR1725971,ERR1713355,ERR1713356,ERR1713357,ERR1713358,ERR1713359,ERR1725977,ERR1713361,ERR1713362,ERR1725979,ERR1713364,ERR1713365,ERR1725984,ERR1713367,ERR1713368,ERR1725985,ERR1713370,ERR1713371,ERR1713372,ERR1713373,ERR1725988,ERR1725991,ERR1713376,ERR1725995,ERR1713378,ERR1725998,ERR1713380,ERR1713381,ERR1713382,ERR1713383,ERR1713384,ERR1713385,ERR1713386,ERR1726001,ERR1713388,ERR1713389,ERR1726004,ERR1713391,ERR1726006,ERR1726007,ERR1713394,ERR1713395,ERR1713396,ERR1713397,ERR1713398,ERR1726013,ERR1713400,ERR1726017,ERR1713402,ERR1713403,ERR1726026,ERR1713405,ERR1713406,ERR1713407,ERR1713408,ERR1713409,ERR1713410,ERR1726032,ERR2808645,ERR2808646,ERR2808647,ERR2808648,ERR2808649,ERR2808650,ERR2808651,ERR2808652,ERR2808653,ERR2808654,ERR2808655,ERR2808656,ERR2808657,ERR2808658,ERR2808659,ERR2808660,ERR2808661,ERR2808662,ERR2808663,ERR2808664,ERR2808665,ERR2808666,ERR2808667,ERR2808668,ERR1341804,ERR1341803,ERR1467143,ERR1467146,ERR1467154,ERR1470829,ERR1512985,ERR1512995,ERR1513004,ERR1513005,ERR1513006,ERR1525434,ERR1525436,ERR1525439,ERR1525446,ERR1467152,ERR1470825,ERR1470827,ERR1470830,ERR1512988,ERR1512993,ERR1514429,ERR1525437,ERR1525438,ERR1525440,ERR1525444,ERR1512987,ERR1512998,ERR1467142,ERR1467148,ERR1467149,ERR1512984,ERR1514428,ERR1525443,ERR1467150,ERR1470824,ERR1514430,ERR1525445,ERR1512997,ERR1514427,ERR1467144,ERR1467145,ERR1467151,ERR1470822,ERR1470828,ERR1513003,ERR1512986,ERR1512994,ERR1513007,ERR1525441,ERR1525442,ERR1467147,ERR1467153,ERR1470826,ERR1470823,ERR1467141,ERR1512996,ERR1513002,ERR1512989,ERR1512990,ERR1512991,ERR1512992,ERR1512999,ERR1513000,ERR1513001,ERR1525435
OTU11,Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,145,5,23,2,3,0,130,1,3,2,1,33,5,109,7,155,1,3,21,16,2,2,311,3,96,8,3,23,2,1,5,284,16,20,4,14,31,15,69,50,10,50,12,91,13,18,3,155,28,6,113,4,27,107,202,86,3,21,67,4,2,8,1,42,5,21,69,13,11,12,34,19,3,0,52,11,19,307,16,103,68,7,19,7,28,29,29,27,42,30,17,42,101,36,33,21,36,21,106,25,31,24,23,30,20,174,27,0,1,2,0,1,4,2,0,0,0,2,0,1,1,1,0,0,0,2,3,1,1,4,2,1,0,0,2,3,1,2,0,0,1,4,1,1,2,0,2,3,3,2,1,0,0,0,0,0,4,0,0,2,1,5,5,0,0,0,0,0,0,0,0
OTU12,Deferribacteres,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU13,Elusimicrobia,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,1,0,2,0,0,0,0,0,2,3,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,61,0,0,0,0,0,0,17,0,70,0,0,2,5,1,0,12,0,5,0,0,4,2,0,0,51,0,0,6,0,11,2,4,1,12,1,0,1,0,0,0,3,4,5,1,0,1,16,13,4,0,0,4,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,6,0,0,3,0,3,11,1,6,3,1,0,1,1,1,3,0,4,1,7,2,0,0,5,0,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU14,Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,18,0,3,0,0,6,1,22,0,1,1,2,1,2,2,0,16,0,1,0,0,0,0,4,3,30,2,4,1,1,28,3,2,4,2,3,0,0,2,1,0,6,31,0,6,0,11,14,6,1,1,0,23,2,2,0,0,0,0,0,9,1,0,1,0,0,0,0,81,5,0,9,0,7,3,0,8,0,5,8,6,1,13,1,2,9,2,9,8,7,1,4,2,0,7,1,7,2,2,14,238,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,Firmicutes,6,8,30,13,22,13,15,36,14,12,48,43,23,10,19,37,43,22,21,20,17,25,8,21,37,25,22,13,5,14,34,23,33,47,5,18,18,9,15,14,31,10,33,34,29,51,33,45,19,16,25,34,49,56,37,15,4,10,32,40,23,40,14,21,4,26,18,13,46,5,44,30,25,48,44,60,4,20,19,4,30,98,29,17,36,52,50,31,46,57,42,45,5,18,19,27,36,20,8,40,10,13,22,31,47,41,46,48,83,81,13756,2344,49585,6752,2180,1198,16832,1553,2215,1010,5712,23906,2540,5531,3463,16092,4541,2924,21389,39899,4835,1720,7098,5182,34655,19357,1144,5821,4025,1869,1576,31500,7330,7522,5750,10616,7166,20012,13549,16931,7702,17888,8924,17405,5213,7365,3172,13513,2958,8423,67559,8303,16416,42439,16243,13544,903,18117,13003,6223,5270,5700,504,26793,1533,3283,13625,15026,19252,19033,9185,16595,4097,1663,31342,13434,1954,29896,14773,20000,11002,398,286,354,395,249,361,191,376,259,516,295,370,330,357,252,209,267,409,202,288,214,269,281,540,856,3998,1700,951,796,1176,810,535,1419,1820,1651,315,1053,298,1160,1976,1574,1333,1787,537,1541,2317,155,777,901,1449,1178,770,1411,1375,2373,1212,1934,1651,1400,1370,736,1308,1169,1685,1334,2417,1415,2196,1211,753,1077,794,1048,340,431,2153,938,826,1900,969,884,1352,0,1019,635,760,0,1,0,252
OTU16,Fusobacteria,1,2,1,1,0,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,3,1,1,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,3,2,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,4,2,1,2,2,1,5,1,1,4,1,1,2,1,2,3,3,1,1,2,1,2,3,2,2,1,1,1,1,2,2,1,1,3,2,4136,545,7488,359,251,100,133,86,672,354,1971,10363,370,594,99,310,9300,687,6864,12710,541,1847,111,610,18586,4097,100,90,57,961,126,934,448,1936,567,740,2197,5815,979,138,89,833,1003,5223,1699,2324,65,176,604,726,397,1783,1668,1089,1903,446,44,1174,1167,207,451,251,7,63,345,45,3871,1099,2273,2329,1647,1694,359,124,16286,1432,75,2197,3183,913,1633,6,7,10,21,11,19,10,25,18,55,9,18,10,25,8,13,8,23,8,16,9,4,22,63,3,261,115,337,113,234,205,198,237,434,195,60,222,110,69,442,307,248,413,197,207,576,31,151,73,135,277,238,262,156,296,365,167,345,394,286,284,484,253,225,336,175,210,185,164,341,215,130,318,58,100,573,77,297,313,389,175,241,0,106,123,102,0,0,0,46
OTU17,Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,14,0,2,3,13,0,1,0,1,3,1,37,0,1,2,0,5,8,2,3,0,1,7,6,1,5,3,0,0,4,2,4,2,2,13,2,1,8,12,5,1,7,1,7,0,2,19,3,12,7,5,4,9,15,0,8,5,3,1,3,0,5,3,0,15,9,6,9,3,3,1,0,10,5,3,19,7,8,3,11,35,12,35,36,32,28,27,53,3,48,29,48,22,116,31,34,31,42,35,47,128,64,4,51,3,1,0,0,0,0,1,2,2,1,1,1,0,0,1,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,1,1,0,1,2,1,0,1,1,2,4,1,1,3,0,0,0,1,0,1,0,0,0,0
OTU18,Ignavibacteriae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,7,15,21,18,20,23,34,5,45,23,47,21,5,18,39,27,27,21,25,3,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU19,Kiritimatiellaeota,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,3,2,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,3,4,6,0,0,6,3,6,5,3,0,6,6,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU20,Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3,0,58,0,0,1,6,4,0,6,0,6,1,4,5,6,1,0,5,0,5,7,0,3,0,0,1,34,0,3,0,0,8,5,5,2,4,2,1,2,2,25,0,11,46,0,3,0,4,9,20,4,0,3,12,6,1,0,0,32,0,20,0,3,2,1,0,0,0,0,39,1,0,1,0,5,12,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,66,152,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
OTU21,Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,12,0,0,0,0,0,6,250,0,2,3,0,0,0,2,0,1,0,0,0,0,4,1,0,1,2,0,0,0,1,84,2,2,9,0,2,2,2,0,0,0,2,59,40,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,96,2,0,1,6,0,0,0,0,1,0,1,0,0,0,4,37,3,2,32,9,48,14,42,15,43,3,40,18,11,51,31,2,45,27,55,7,36,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU22,Planctomycetes,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8,1,2,0,2,2,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,13,38,118,6,16,1,54,2,3,2,2,17,5,324,10,22,31,9,41,62,10,25,21,114,80,48,2,133,9,9,13,23,8,56,11,29,196,47,30,102,5,109,14,55,13,363,2,59,91,21,24,9,56,79,93,24,9,76,38,7,16,9,0,8,6,4,215,11,53,40,9,32,24,4,107,216,5,30,38,41,14,41,99,36,66,68,61,74,83,102,10,95,86,108,81,8,74,92,101,79,78,85,12,111,11,96,73,7,0,1,0,5,2,6,4,3,0,4,1,3,0,2,4,0,0,3,4,0,1,0,1,2,3,1,2,2,0,8,2,2,1,1,2,2,1,3,3,0,1,4,2,3,2,1,1,0,0,0,5,2,3,3,8,0,14,0,6,0,0,0,3
OTU23,Proteobacteria,6,16,34,28,43,13,16,37,25,25,60,34,27,13,30,34,62,25,24,30,39,51,11,28,51,35,21,15,14,29,39,39,24,67,12,42,23,21,22,34,34,12,29,42,24,67,25,52,30,22,17,41,73,23,41,39,17,17,44,44,35,54,9,24,13,44,25,24,49,9,31,34,24,53,61,37,17,24,29,10,22,76,30,34,115,46,41,43,38,77,56,51,10,16,48,35,37,20,8,61,15,16,18,28,53,49,37,53,64,56,81109,27543,52512,9745,18734,4271,36086,1238,2629,1886,5564,33912,6238,31086,6416,7801,15852,4446,51897,65166,5465,90518,6526,12801,56712,22476,53683,12397,165653,6535,1917,27780,36184,25597,61910,7754,79595,71396,23571,34109,172778,60672,10154,100796,11522,52201,3836,13681,10882,60925,7793,129952,11340,28968,26562,247082,3624,33095,30029,2944,7343,23234,15031,54202,75744,6646,23830,25078,20178,20869,7673,21401,5696,1904,55762,32405,163024,51975,15853,18016,19565,4488,3764,4067,5663,3902,5409,3948,6126,4623,15510,4006,4733,4329,5687,5755,4248,3388,5276,3339,4220,3598,6285,4923,16910,6788,6803,2400,2072,1182,2520,2152,3983,3145,2393,2652,876,1842,2197,1513,2075,2433,3626,3610,2340,2449,2880,671,2560,2788,2065,3597,3236,1589,2333,2925,2236,2383,3257,2220,2323,6061,3372,1515,1912,2146,2201,1634,2187,2406,6476,1944,1602,4595,1587,2551,3084,1848,2639,3235,2895,2109,2600,0,1635,1019,1616,0,0,0,757
OTU24,Spirochaetes,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,10,0,0,0,0,0,10,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,1,22,5,42,2,1,0,340,6,2,1,2,33,1,561,0,28,1,0,89,19,4,3,31,11,31,8,0,44,6,2,96,408,2,20,20,9,112,32,29,67,6,19,18,8,2,23,1,21,707,9,47,5,76,310,79,22,36,4,18,25,7,0,0,2821,4,103,70,65,13,29,2,20,15,3,92,41,7,20,14,33,43,8,74,5,231,209,224,214,115,223,4,88,475,95,101,119,226,76,538,77,226,77,130,240,5,294,3030,7,0,0,2,2,0,2,1,1,0,0,9,3,1,1,0,2,24,0,2,1,2,0,0,1,2,0,0,3,1,2,0,0,0,13,7,1,1,0,1,1,1,0,0,2,2,2,1,3,0,2,1,0,8,2,7,0,3,3,3,0,0,0,1
OTU25,Synergistetes,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,2,0,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,1,0,0,4,3,1,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,0,3,0,0,2,2,2,0,0,1,4,11,0,1,0,0,2,0,0,4,0,1,1,0,0,1,1,0,1,4,52,21,270,6,28,10,608,7,30,91,68,182,16,183,95,626,42,52,72,50,2,37,164,128,345,66,15,929,70,7,65,239,20,71,9,25,116,115,236,2695,33,48,84,50,28,622,30,948,535,14,113,34,527,934,103,275,71,51,185,52,51,10,0,3401,23,10,87,73,266,278,20,130,126,16,601,306,231,24,69,205,189,9,10,14,16,11,22,2,12,15,11,6,14,6,15,5,7,10,8,3,18,5,10,5,6,272,98,10,1,0,1,12,0,8,5,2,2,3,10,0,0,2,1,4,11,8,8,1,3,3,2,1,2,3,2,2,2,7,2,1,1,2,9,2,8,2,0,4,2,0,2,1,5,3,0,3,3,3,2,2,3,5,10,0,0,6,7,0,0,0,1
OTU26,Tenericutes,0,0,1,0,2,0,0,0,0,0,4,3,0,0,2,2,1,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,2,1,0,6,0,0,0,4,0,0,1,0,2,2,2,7,0,0,0,3,6,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,1,2,3,2,0,1,1,0,2,7,1,3,0,1,1,3,3,4,1,1,0,0,0,3,0,0,0,3,0,0,2,0,4,2,2,5,13,5,239,25,321,71,15,11,405,29,26,12,24,159,32,72,36,108,36,34,241,612,49,42,92,54,473,142,20,35,148,6,54,281,94,97,29,174,62,181,152,50,75,145,125,225,60,145,11,144,235,76,1113,51,272,545,417,168,7,217,66,45,91,57,2,23267,28,31,400,98,74,101,27,56,13,7,188,123,29,267,230,173,165,1,0,3,4,5,4,3,3,1,2,5,6,4,1,3,3,1,7,1,4,1,4,1,4,26,2327,17,8,8,16,16,3,25,14,25,10,16,5,15,14,14,9,17,14,15,34,1,6,10,10,25,7,12,22,38,10,50,16,10,13,5,13,6,25,23,23,15,19,20,11,23,15,14,9,3,34,14,13,18,9,18,34,0,18,11,5,0,0,0,4
OTU27,Verrucomicrobia,1,1,1,1,2,2,1,2,1,0,1,1,2,4,2,3,2,1,1,1,1,1,2,4,4,2,4,1,0,0,1,1,4,2,1,1,3,1,0,1,1,1,1,2,4,1,1,3,2,2,2,1,6,6,3,1,0,0,1,3,1,3,0,1,0,3,0,2,3,0,1,3,2,1,3,1,0,1,1,0,1,1,2,1,10,1,3,2,2,4,3,4,0,2,1,2,6,0,1,6,0,1,1,3,2,1,1,2,1,5,120,48,377,74,22,23,726,75,54,96,102,369,78,378,98,3476,55,97,323,518,52,27,809,334,202,243,13,1017,287,13,55,217,118,151,36,483,562,195,284,1783,87,236,119,216,80,384,34,936,528,109,131,64,397,817,157,161,138,272,251,119,119,103,4,390,22,13,249,252,367,340,100,275,466,36,695,990,47,68,247,369,264,87,176,94,219,153,204,142,208,211,71,196,225,208,183,126,155,161,240,124,154,140,141,223,81,309,157,25,4,14,15,19,7,23,26,11,1,9,6,18,31,20,13,19,35,22,31,1,9,15,12,21,5,14,20,28,18,22,19,16,26,12,20,26,20,24,20,27,27,18,8,20,10,10,2,4,29,13,33,23,18,14,31,0,12,6,9,0,0,0,5
OTU28,Ascomycota,0,0,2,0,0,1,0,2,0,1,3,1,1,2,0,5,2,1,1,0,0,4,1,2,0,0,0,1,0,2,1,2,3,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,6,0,0,1,0,0,0,0,0,0,1,3,1,2,0,2,0,0,2,1,0,0,0,1,0,2,3,0,0,0,0,2,1,0,4,0,0,3,4,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,2,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,13,5,2,4,3,21,11,6,6,8,7,25,7,5,7,14,1,2,0,7,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,Basidiomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,1,5,0,2,0,3,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU30,Cryptomycota,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,0,2,0,2,1,4,2,9,7,0,3,0,3,0,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
